,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,01-08-2021,
07-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
